word,syllable1,syllable2
aa,a,a
aal,a,al
aba,a,ba
aba,a,ba
abar,a,bar
abiu,a,biu
abra,a,bra
abreu,a,breu
abril,a,bril
abrir,a,brir
abro,a,bro
abster,abs,ter
abu,a,bu
aca,a,ca
aça,a,ça
aça,a,ça
açã,a,çã
aça,a,ça
acá,a,cá
ação,a,ção
acém,a,cém
ácer,á,cer
aceu,a,ceu
aceu,a,ceu
acha,a,cha
achar,a,char
achar,a,char
ache,a,che
achém,a,chém
achém,a,chém
achém,a,chém
acme,ac,me
acna,ac,na
acne,ac,ne
aço,a,ço
aço,a,ço
açor,a,çor
acre,a,cre
acre,a,cre
acreu,a,creu
acro,a,cro
acteu,ac,teu
acteu,ac,teu
adão,a,dão
ade,a,de
adê,a,dê
adem,a,dem
adem,a,dem
adeus,a,deus
adeus,a,deus
adil,a,dil
adir,a,dir
adro,a,dro
adur,a,dur
advim,ad,vim
advir,ad,vir
afã,a,fã
afão,a,fão
affair,af,fair
afim,a,fim
afim,a,fim
afim,a,fim
aflar,a,flar
afra,a,fra
afro,a,fro
afro,a,fro
afta,af,ta
agá,a,gá
agar,a,gar
ágar,á,gar
ágil,á,gil
agir,a,gir
agma,ag,ma
ago,a,go
agra,a,gra
agrar,a,grar
agraz,a,graz
agraz,a,graz
agre,a,gre
agreu,a,greu
agreu,a,greu
agro,a,gro
agro,a,gro
agror,a,gror
água,á,gua
água,á,gua
aguai,a,guai
aguar,a,guar
aí,a,í
aí,a,í
aí,a,í
ai-ai,ai,ai
aia,ai,a
aiar,ai,ar
aido,ai,do
aigue,ai,gue
ailó,ai,ló
aine,ai,ne
aino,ai,no
aino,ai,no
aio,ai,o
aipi,ai,pi
aipim,ai,pim
aipo,ai,po
airão,ai,rão
airar,ai,rar
airbag,air,bag
airbus,air,bus
airi,ai,ri
airo,ai,ro
airó,ai,ró
airol,ai,rol
aiú,ai,ú
aivão,ai,vão
aixe,ai,xe
ajur,a,jur
ala,a,la
alá,a,lá
ala,a,la
alão,a,lão
alar,a,lar
alar,a,lar
alar,a,lar
alba,al,ba
albói,al,bói
albor,al,bor
álbum,ál,bum
alça,al,ça
alça,al,ça
alção,al,ção
alçar,al,çar
alcar,al,car
alcaz,al,caz
alce,al,ce
alçuz,al,çuz
alda,al,da
aldo,al,do
além,a,lém
além,a,lém
aleu,a,leu
aléu,a,léu
aleu,a,leu
alfa,al,fa
alfa,al,fa
alfar,al,far
alfil,al,fil
alfim,al,fim
alfim,al,fim
alfir,al,fir
alfol,al,fol
alfoz,al,foz
alfrês,al,frês
alga,al,ga
algar,al,gar
algaz,al,gaz
algo,al,go
algo,al,go
algo,al,go
algor,al,gor
algoz,al,goz
alguém,al,guém
alguém,al,guém
algum,al,gum
algum,al,gum
algum,al,gum
alhal,a,lhal
alho,a,lho
alho,a,lho
ali,a,li
aljuz,al,juz
alma,al,ma
almo,al,mo
alna,al,na
alno,al,no
alô,a,lô
alô,a,lô
aló,a,ló
alor,a,lor
alpes,al,pes
alta,al,ta
altar,al,tar
alter,al,ter
alto,al,to
alto,al,to
alto,al,to
alto,al,to
altor,al,tor
altor,al,tor
altriz,al,triz
altriz,al,triz
aluz,a,luz
alva,al,va
alvar,al,var
alvar,al,var
alvo,al,vo
alvo,al,vo
alvor,al,vor
ama,a,ma
amã,a,mã
amar,a,mar
ambão,am,bão
âmbar,âm,bar
ambe,am,be
ambó,am,bó
ambo,am,bo
ambo,am,bo
ambo,am,bo
ambos,am,bos
ambos,am,bos
ambrão,am,brão
ambrão,am,brão
ambrar,am,brar
ambre,am,bre
ambu,am,bu
amém,a,mém
amém,a,mém
ámen,á,men
ámen,á,men
âmi,â,mi
amir,a,mir
amo,a,mo
amor,a,mor
amplo,am,plo
aná,a,ná
anã,a,nã
aná,a,ná
anais,a,nais
anal,a,nal
anal,a,nal
anão,a,não
anão,a,não
anaz,a,naz
anca,an,ca
ancho,an,cho
ancil,an,cil
anco,an,co
ancol,an,col
anda,an,da
andá,an,dá
andar,an,dar
andar,an,dar
andas,an,das
ande,an,de
ande,an,de
ande,an,de
andim,an,dim
andor,an,dor
andu,an,du
anel,a,nel
angla,an,gla
anglo,an,glo
anglo,an,glo
angra,an,gra
angström,ang,ström
angu,an,gu
anhá,a,nhá
anho,a,nho
ani,a,ni
anil,a,nil
anil,a,nil
anis,a,nis
anjo,an,jo
ano,a,no
ansa,an,sa
anschluss,ansch,luss
anta,an,ta
anta,an,ta
anta,an,ta
antão,an,tão
antar,an,tar
ante,an,te
ante,an,te
antes,an,tes
anti,an,ti
anti,an,ti
anti,an,ti
antraz,an,traz
antro,an,tro
anu,a,nu
anum,a,num
ânus,â,nus
anzol,an,zol
apa,a,pa
apá,a,pá
apã,a,pã
apar,a,par
ape,a,pe
apé,a,pé
apê,a,pê
ápex,á,pex
aplomb,a,plomb
apo,a,po
apo,a,po
apor,a,por
após,a,pós
após,a,pós
apport,ap,port
apre,a,pre
aptar,ap,tar
apto,ap,to
aquém,a,quém
aqueu,a,queu
aqueu,a,queu
aqui,a,qui
aqui,a,qui
ará,a,rá
ara,a,ra
aral,a,ral
arão,a,rão
arar,a,rar
arar,a,rar
arau,a,rau
arbi,ar,bi
arbóis,ar,bóis
arçã,ar,çã
arca,ar,ca
arcal,ar,cal
arção,ar,ção
arcar,ar,car
arcaz,ar,caz
archa,ar,cha
archi,ar,chi
arco,ar,co
arco de Deus,ar,co deDeus
arctar,arc,tar
arda,ar,da
arder,ar,der
ardil,ar,dil
ardor,ar,dor
are,a,re
aréu,a,réu
arfar,ar,far
arfil,ar,fil
arga,ar,ga
argal,ar,gal
argão,ar,gão
argau,ar,gau
argel,ar,gel
argel,ar,gel
argo,ar,go
árgon,ár,gon
arguês,ar,guês
arguir,ar,guir
arjão,ar,jão
arjoz,ar,joz
arma,ar,ma
armão,ar,mão
armar,ar,mar
arméu,ar,méu
armim,ar,mim
armo,ar,mo
armur,ar,mur
arnal,ar,nal
arnal,ar,nal
arnaz,ar,naz
arnaz,ar,naz
arnês,ar,nês
aro,a,ro
arpão,ar,pão
arpar,ar,par
arpéu,ar,péu
arquel,ar,quel
arqueu,ar,queu
arquiz,ar,quiz
arrã,ar,rã
arrais,ar,rais
arral,ar,ral
arras,ar,ras
arrás,ar,rás
arre,ar,re
arre,ar,re
arreu,ar,reu
arreu,ar,reu
arroz,ar,roz
arse,ar,se
arses,ar,ses
ársis,ár,sis
arso,ar,so
arso,ar,so
arte,ar,te
artes,ar,tes
aru,a,ru
árum,á,rum
arval,ar,val
arval,ar,val
arxar,ar,xar
arzel,ar,zel
asa,a,sa
asar,a,sar
asca,as,ca
ascá,as,cá
asco,as,co
áscon,ás,con
ascreu,as,creu
ascreu,as,creu
aseu,a,seu
aseu,a,seu
asir,a,sir
asma,as,ma
asmo,as,mo
asna,as,na
asnais,as,nais
asnal,as,nal
asnil,as,nil
asnil,as,nil
asno,as,no
asno,as,no
aspa,as,pa
aspar,as,par
aspas,as,pas
aspe,as,pe
aspe,as,pe
assa,as,sa
assar,as,sar
assaz,as,saz
asse,as,se
assi,as,si
assim,as,sim
assim,as,sim
assim,as,sim
assim,as,sim
asta,as,ta
asta,as,ta
asta,as,ta
áster,ás,ter
astral,as,tral
astral,as,tral
astres,as,tres
astro,as,tro
ata,a,ta
atá,a,tá
atai,a,tai
atar,a,tar
até,a,té
até,a,té
ate,a,te
ater,a,ter
ateu,a,teu
ateu,a,teu
ati,a,ti
atim,a,tim
atlas,a,tlas
ato,a,to
atol,a,tol
ator,a,tor
atrás,a,trás
atril,a,tril
atriz,a,triz
atro,a,tro
atroz,a,troz
atum,a,tum
au-au,au,au
auçá,au,çá
aução,au,ção
audaz,au,daz
auê,au,ê
augar,au,gar
auge,au,ge
augir,au,gir
auí,au,í
aula,au,la
aulir,au,lir
aulo,au,lo
aunar,au,nar
aura,au,ra
aurir,au,rir
ausco,aus,co
ausco,aus,co
auso,au,so
austar,aus,tar
austral,aus,tral
austral,aus,tral
austro,aus,tro
auteu,au,teu
auteu,au,teu
auto,au,to
auto de fé,au,to defé
autor,au,tor
avá,a,vá
avá,a,vá
avá,a,vá
aval,a,val
avão,a,vão
ave,a,ve
ave,a,ve
ave,a,ve
avir,a,vir
avo,a,vo
avó,a,vó
avô,a,vô
avós,a,vós
axá,a,xá
axe,a,xe
axi,a,xi
áxil,á,xil
áxis,á,xis
azal,a,zal
azar,a,zar
azar,a,zar
azo,a,zo
azul,a,zul
azul,a,zul
babá,ba,bá
baba,ba,ba
baba,ba,ba
babá,ba,bá
babão,ba,bão
babão,ba,bão
babar,ba,bar
babau,ba,bau
babau,ba,bau
babel,ba,bel
baby,ba,by
bachão,ba,chão
bachão,ba,chão
back-up,back,up
background,back,ground
backup,bac,kup
baço,ba,ço
baço,ba,ço
bacon,ba,con
bactro,bac,tro
bactro,bac,tro
bacu,ba,cu
bada,ba,da
badal,ba,dal
badge,bad,ge
badil,ba,dil
bádur,bá,dur
baé,ba,é
baé,ba,é
bafa,ba,fa
bafar,ba,far
bafo,ba,fo
bafum,ba,fum
baga,ba,ga
bagar,ba,gar
bage,ba,ge
bagem,ba,gem
bagi,ba,gi
bago,ba,go
bagre,ba,gre
baguá,ba,guá
bagual,ba,gual
bagual,ba,gual
